epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.773,0.88391,2.69319,1.28202,0.00389,1,0.46274,0.19387,0.74442,3.22179,1.34153,0.0003,0.0003,0.0003
2,210.743,0.86489,2.19353,1.22322,0.00319,0.82143,0.2723,0.16788,1.55462,3.44247,2.49111,0.000617954,0.000617954,0.000617954
3,316.057,0.95835,1.66183,1.23565,0.00361,0.92857,0.19306,0.07805,2.05307,3.64543,3.27709,0.000933796,0.000933796,0.000933796
4,420.302,0.94632,1.56737,1.26394,0.15032,0.07143,0.26978,0.09726,1.50608,3.20826,2.31538,0.00124753,0.00124753,0.00124753
5,524.617,0.99055,1.56209,1.27966,0.79466,0.27714,0.43221,0.26639,1.15605,2.96986,2.01724,0.00155914,0.00155914,0.00155914
6,628.807,1.00677,1.48995,1.28496,0.36746,0.64317,0.33127,0.13279,1.8916,3.11354,5.32451,0.00186865,0.00186865,0.00186865
7,733.125,1.05237,1.52211,1.32644,0.12998,0.28571,0.115,0.04939,1.63113,2.97482,2.79135,0.0019604,0.0019604,0.0019604
8,835.953,0.99925,1.4551,1.30306,0.32984,0.42857,0.27421,0.11503,1.78125,2.63341,3.04537,0.0019538,0.0019538,0.0019538
9,939.017,1.03075,1.38056,1.31618,0.32152,0.44024,0.28967,0.10249,1.73182,2.84626,2.62058,0.0019472,0.0019472,0.0019472
10,1041.89,1.03494,1.3895,1.31141,0.24028,0.17857,0.13492,0.04623,2.37406,2.93447,3.06417,0.0019406,0.0019406,0.0019406
11,1145.29,0.95379,1.22213,1.24001,0.46924,0.25,0.25251,0.09179,2.29227,2.66607,3.25077,0.001934,0.001934,0.001934
12,1249,0.99446,1.25601,1.2606,0.17331,0.24715,0.10122,0.05179,2.1632,2.91557,2.77824,0.0019274,0.0019274,0.0019274
13,1351.95,0.95454,1.19311,1.237,0.48148,0.49754,0.41913,0.21429,1.74649,2.33929,2.38198,0.0019208,0.0019208,0.0019208
14,1454.79,0.93301,1.15379,1.22602,0.49521,0.5,0.47057,0.24386,1.38318,2.12449,2.15689,0.0019142,0.0019142,0.0019142
15,1557.44,0.86647,1.06838,1.1783,0.35302,0.5,0.31213,0.15095,1.59772,2.54877,2.37155,0.0019076,0.0019076,0.0019076
16,1659.81,0.8976,1.10529,1.20803,0.839,0.55879,0.64685,0.38554,1.24566,1.83293,2.07684,0.001901,0.001901,0.001901
17,1762.26,0.89081,1.05373,1.18854,0.53053,0.5,0.44792,0.24952,1.35102,2.1621,2.04433,0.0018944,0.0018944,0.0018944
18,1865.17,0.88909,1.01275,1.18449,0.46029,0.57888,0.53396,0.21061,1.38765,2.06893,2.13205,0.0018878,0.0018878,0.0018878
19,1967.57,0.85656,1.01105,1.17457,0.58157,0.60714,0.58022,0.30799,1.43844,1.95001,2.19793,0.0018812,0.0018812,0.0018812
20,2070.1,0.88544,1.00623,1.19568,0.38107,0.48401,0.39272,0.24182,1.731,2.028,2.42776,0.0018746,0.0018746,0.0018746
21,2172.78,0.93468,0.99224,1.23606,0.74113,0.67857,0.74806,0.37553,1.48788,1.65365,2.231,0.001868,0.001868,0.001868
22,2275.4,0.87623,1.00422,1.19868,0.72482,0.57143,0.69442,0.40551,1.38676,1.68683,2.07399,0.0018614,0.0018614,0.0018614
23,2377.87,0.82263,0.94892,1.16621,0.50328,0.64286,0.56845,0.31492,1.50653,1.92693,2.06949,0.0018548,0.0018548,0.0018548
24,2480.51,0.7915,0.92253,1.15099,0.66318,0.46429,0.55793,0.37469,1.44047,1.74165,2.06719,0.0018482,0.0018482,0.0018482
25,2582.66,0.81473,0.90836,1.16326,0.51354,0.67864,0.63472,0.3617,1.34963,1.76602,1.85643,0.0018416,0.0018416,0.0018416
26,5227.92,0.8352,0.90905,1.15201,0.60611,0.78571,0.66531,0.36661,1.30274,1.58833,2.01382,0.001835,0.001835,0.001835
27,5330.74,0.79365,0.85041,1.13705,0.56934,0.71429,0.60822,0.39232,1.28393,1.57175,1.81958,0.0018284,0.0018284,0.0018284
28,5433.96,0.77472,0.83714,1.13632,0.58266,0.64286,0.64557,0.36085,1.44489,1.6018,2.06743,0.0018218,0.0018218,0.0018218
29,5537.78,0.78705,0.8593,1.12438,0.70773,0.51934,0.62099,0.32006,1.51455,1.58454,2.19522,0.0018152,0.0018152,0.0018152
30,5640.69,0.76969,0.82865,1.12896,0.71872,0.75,0.79365,0.45531,1.40942,1.66487,1.93774,0.0018086,0.0018086,0.0018086
31,5747.06,0.76501,0.80984,1.13283,0.68815,0.71429,0.79169,0.52604,1.20178,1.41956,1.81892,0.001802,0.001802,0.001802
32,5850.56,0.75325,0.78949,1.08526,0.66378,0.78571,0.75987,0.51762,1.31897,1.28169,1.95196,0.0017954,0.0017954,0.0017954
33,5954.22,0.73047,0.72213,1.09231,0.89483,0.60778,0.80528,0.53987,1.15936,1.34448,1.81036,0.0017888,0.0017888,0.0017888
34,6058.31,0.74525,0.71525,1.08859,0.86163,0.78571,0.81429,0.49116,1.21617,1.24366,1.82223,0.0017822,0.0017822,0.0017822
